"Mcbsno","TransactionId","TrNo","Family","Model","WC","Start","Log","Fis","FisRewk","LogStatus","DimmNo","ErrSteps","LogStarttime","LogEndtime","OpId","Fixture","ResExpT"
VC65RT3565,VC65RT3565_20_2026-05-09 07:16:41.218401,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:16:26.949,2026-05-09 07:38:47.496,2500035,020EWR30,1326
VC65RT3562,VC65RT3562_20_2026-05-09 07:16:30.349279,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:16:23.236,2026-05-09 07:35:16.700,2500035,020EWR05,1126
VC65RT0400,VC65RT0400_20_2026-05-09 07:15:27.534308,1,HOPPER,1395H3289356,20,Start,NoData,NoData,,NoData,,,,,2500035,020EWR38,
VC65RT3559,VC65RT3559_20_2026-05-09 07:14:32.887008,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:14:27.723,2026-05-09 07:33:17.323,2500035,020EWR24,1124
VC65RT0778,VC65RT0778_20_2026-05-09 07:14:16.026703,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:14:10.860,2026-05-09 07:32:26.664,2500035,020EWR19,1090
VC65RT3567,VC65RT3567_20_2026-05-09 07:12:43.160658,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:12:35.968,2026-05-09 07:33:13.867,2500035,020EWR25,1230
VC65RT0611,VC65RT0611_20_2026-05-09 07:12:33.357343,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:12:23.169,2026-05-09 07:31:20.839,2500035,020EWR01,1127
VC65RT3828,VC65RT3828_20_2026-05-09 07:12:31.470252,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:12:22.251,2026-05-09 07:31:27.084,2500035,020EWR23,1135
VC65RT3569,VC65RT3569_20_2026-05-09 07:12:22.550650,1,HOPPER,1395H3289356,20,Start,NoData,NoData,,NoData,BIOS=C21i_0212M50IEC,,,,2500035,020EWR41,
VC65RT0460,VC65RT0460_20_2026-05-09 07:11:57.979350,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:11:48.853,2026-05-09 07:30:50.273,2500035,020EWR06,1132
VC65RT3578,VC65RT3578_20_2026-05-09 07:11:33.845731,2,HOPPER,1395H3289356,20,Start,NoData,NoData,,NoData,,,,,2500035,020EWR18,
VC65RT3573,VC65RT3573_20_2026-05-09 07:11:31.962660,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:11:24.873,2026-05-09 07:30:43.702,2500035,020EWR20,1151
VC65RT0482,VC65RT0482_20_2026-05-09 07:11:27.484806,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:11:21.273,2026-05-09 07:30:05.041,2500035,020EWR17,1117
VC65RT3566,VC65RT3566_20_2026-05-09 07:11:19.878234,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:11:01.632,2026-05-09 07:29:52.300,2500035,020EWR02,1112
VC65RT3629,VC65RT3629_20_2026-05-09 07:11:18.601765,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:11:06.465,2026-05-09 07:31:17.028,2500035,020EWR47,1198
VC65RT0515,VC65RT0515_20_2026-05-09 07:11:17.179967,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:11:09.095,2026-05-09 07:29:45.135,2500035,020EWR16,1107
VC65RT3578,VC65RT3578_20_2026-05-09 07:11:10.893366,1,HOPPER,1395H3289356,20,Start,Log,NoData,,ABORTED,,4.check M2_SN (process-plan-aborted) ,2026-05-09 07:10:58.075,2026-05-09 07:12:10.587,2500035,020EWR41,
VC65RT3580,VC65RT3580_20_2026-05-09 07:10:30.827580,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:10:23.732,2026-05-09 07:29:25.452,2500035,020EWR15,1134
VC65RT0397,VC65RT0397_20_2026-05-09 07:10:23.861066,1,HOPPER,1395H3289356,20,Start,NoData,NoData,,NoData,,,,,2500035,020EWR13,
VC65RT0636,VC65RT0636_20_2026-05-09 07:09:44.039517,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:09:35.946,2026-05-09 07:28:31.439,2500035,020EWR07,1127
VC65RT3564,VC65RT3564_20_2026-05-09 07:09:24.920934,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:09:17.778,2026-05-09 07:29:33.999,2500035,020EWR29,1209
VC65RT0396,VC65RT0396_20_2026-05-09 07:08:34.022977,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:08:23.896,2026-05-09 07:27:41.841,2500035,020EWR12,1147
VC65RT3620,VC65RT3620_20_2026-05-09 07:07:37.184025,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:07:24.073,2026-05-09 07:26:13.026,2500035,020EWR11,1115
VC65RT3602,VC65RT3602_20_2026-05-09 07:07:16.787625,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:07:05.596,2026-05-09 07:26:58.801,2500035,020EWR45,1182
VC65RT3576,VC65RT3576_20_2026-05-09 07:06:52.060018,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:06:46.857,2026-05-09 07:27:00.543,2500035,020EWR35,1208
VC65RT3730,VC65RT3730_20_2026-05-09 07:06:45.318863,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:06:38.181,2026-05-09 07:25:54.254,2500035,020EWR43,1148
VC65RT3568,VC65RT3568_20_2026-05-09 07:06:09.759180,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-09 07:06:04.618,2026-05-09 07:24:45.619,2500035,020EWR33,1115
